Year,UserId,UserName,TotalPosts,AvgLengthPerPost,LengthOfAllPosts,Edits
2003,46479,Mr Smile,161,0.44109589,70073,48
2003,24274,Aarkvard,35,0.095890411,11994,7
2003,48860,Sir Killalot,1230,3.369863014,419763,347
2003,82256,Killazz,345,0.945205479,64320,50
2003,59217,[Kamikaze],31,0.084931507,10009,4
2003,58350,Cheaterhossie,194,0.531506849,72318,50
2003,21061,Flashhead,333,0.912328767,128611,24
2003,34096,muckely,2,0.005479452,369,0
2003,51470,CounterForce,133,0.364383562,69714,17
2003,14088,Bombur,177,0.484931507,87474,36
2003,47115,Concer,425,1.164383562,75610,59
2003,59579,Zen,108,0.295890411,19415,6
2003,43747,Bloodmouse,1423,3.898630137,592133,211
2003,81544,Deathmarine,13,0.035616438,5010,5
2003,46332,Blash,117,0.320547945,39088,15
2003,46835,Arcus,33,0.090410959,14231,15
2003,36024,[-SUSHY-]Salie,457,1.252054795,105185,32
2003,41644,quippy,102,0.279452055,95688,29
2003,39593,Kagan,89,0.243835616,45551,8
2003,28909,zzzZZZzzzZZZ,268,0.734246575,62876,13
2003,49082,Elkano,188,0.515068493,41891,21
2003,59031,Cola-SixPack,521,1.42739726,94664,114
2003,10149,Dr.Mindbender,50,0.136986301,11415,3
2003,59565,Leipnizkeks,120,0.328767123,35472,9
2003,6774,Raverboy,121,0.331506849,51464,17
2003,17631,Creeper,174,0.476712329,50006,11
2003,51491,y`Ausn,47,0.128767123,15968,4
2003,59150,MeSseNjAh,83,0.22739726,9407,13
2003,5022,Rincewind,147,0.402739726,44880,4
2003,50393,Zaragoz,48,0.131506849,10977,5
2003,59446,Vash,229,0.62739726,27140,10
2003,38594,Noch_ein_Kamel,14,0.038356164,2629,1
2003,21088,Che Guevara,86,0.235616438,32214,23
2003,53964,Ghostface2k,59,0.161643836,18280,6
2003,59930,sartox,86,0.235616438,30207,18
2003,22007,Newb1e,71,0.194520548,19773,23
2003,64240,John Mason,211,0.578082192,55797,73
2003,59829,Flameboy,145,0.397260274,26793,11
2003,5652,Atomsk,735,2.01369863,143439,91
2003,37772,-BigDaddy-,710,1.945205479,180587,81
2003,85956,lawl,395,1.082191781,121396,62
2003,56672,Tenz,91,0.249315068,28052,63
2003,116,Crypta,598,1.638356164,394800,222
2003,7202,ParoXysm,104,0.284931507,26749,15
2003,20305,[H@CKERS]Hellfire,501,1.37260274,147133,95
2003,59745,Malciz,217,0.594520548,54443,20
2003,17392,Kaioshin,767,2.101369863,211185,93
2003,15643,Locu,345,0.945205479,120240,76
2003,18171,FoxHunter,189,0.517808219,48207,31
2003,28389,Darklord2201,102,0.279452055,43043,22
2003,43586,cyberschaf,607,1.663013699,205807,91
2003,26318,MC_Fuchs,154,0.421917808,68945,15
2003,5399,Kirius,117,0.320547945,32798,12
2003,27274,~Bulkhe@d~,612,1.676712329,243571,66
2003,38755,AK Lover,373,1.021917808,142944,47
2003,38268,FDJ-Pert,27,0.073972603,5269,1
2003,39914,[=EE=]Buddy,741,2.030136986,372733,142
2003,20900,Jever-Pils,22,0.060273973,5030,3
2003,4611,MaraJade,31,0.084931507,5045,3
2003,34852,kleiner blauer Schlumpf,1767,4.84109589,591802,139
2003,20654,Suizidhilfe,438,1.2,158085,59
2003,3177,[IG]Tank,112,0.306849315,52567,13
2003,21000,Lucifer,568,1.556164384,220580,76
2003,55519,Feuerlîscher,1226,3.35890411,230735,123
2003,9216,Neon Dragon,219,0.6,56144,16
2003,55363,LeTschegg,141,0.38630137,44869,20
2003,26360,pesto,261,0.715068493,67788,29
2003,33690,dantoX,217,0.594520548,95368,28
2003,19021,[LHZ]stryker,65,0.178082192,24081,6
2003,7324,[UFP]Sobrek,35,0.095890411,12508,10
2003,7955,Blood Bug,233,0.638356164,71228,77
2003,46714,Deadalus,86,0.235616438,34401,41
2003,20938,-=Q=- 8-BaLL,289,0.791780822,111106,47
2003,30170,KalVasFlam,42,0.115068493,7869,3
2003,58620,Grand High Siegemaster,1045,2.863013699,230827,85
2003,56513,Coffeemaker*,169,0.463013699,41167,12
2003,26577,[BMC]Netforce[CF],496,1.35890411,119603,68
2003,39050,tim aka coltvirtuose,68,0.18630137,15565,6
2003,26027,TuRk,89,0.243835616,24977,4
2003,61738,shibby,104,0.284931507,28065,19
2003,56506,Paladin,1453,3.980821918,321448,114
2003,19570,mokka,186,0.509589041,52430,16
2003,62405,$hodan,104,0.284931507,13636,8
2003,87242,lavinia2,17,0.046575342,2959,0
2003,4633,Matatron*,342,0.936986301,109657,33
2003,51505,John F. Dannidy,717,1.964383562,128051,67
2003,33209,Sho,733,2.008219178,130913,163
2003,50324,[Muh!]Shadow,292,0.8,74503,29
2003,50416,Tony.50,409,1.120547945,79806,74
2003,30680,matuta,44,0.120547945,23713,1
2003,41018,~UDP|AeGiS,513,1.405479452,186543,104
2003,54932,FuSL,463,1.268493151,176784,66
2003,30599,Vironnimo,888,2.432876712,345428,103
2003,71630,Rangoro,1078,2.953424658,187092,115
2003,36512,UltimateVegeta,791,2.167123288,274230,99
2003,51546,katze im sack,617,1.690410959,133857,120
2003,16251,Ball,408,1.117808219,68886,28
2003,39627,Smoking44*,249,0.682191781,48845,9
2003,33488,Eiskrem-Kaiser,332,0.909589041,119634,22
2003,16497,FuckFace,194,0.531506849,38310,56
2003,42369,Schucku,534,1.463013699,101536,38
2003,52756,Staats,95,0.260273973,26614,3
2003,26503,Havoc Illuminatus,807,2.210958904,198310,39
2003,63814,Ein freund,20,0.054794521,3017,6
2003,525,[Caveman],482,1.320547945,138153,62
2003,25241,Johnny-Zoo,155,0.424657534,55709,54
2003,60359,Worker,79,0.216438356,23898,7
2003,32703,phoe,623,1.706849315,128043,57
2003,78175,Hakkkke,133,0.364383562,26779,4
2003,15593,[UAF]Godoelk,1475,4.04109589,328474,650
2003,88128,Rilana,677,1.854794521,297596,126
2003,26879,[EK]Gigman,345,0.945205479,109664,79
2003,6785,[MONGO]Jazz Jackrabbit,669,1.832876712,217336,6
2003,44969,monstermind,89,0.243835616,24818,7
2003,55206,-Stone-,230,0.630136986,100402,44
2003,59436,pesadilla,11,0.030136986,3584,1
2003,18598,LeckerEssen,168,0.460273973,80242,14
2003,51274,flavour,493,1.350684932,119089,29
2003,13819,Limax,62,0.169863014,11669,7
2003,36668,PsYcHoSeAn*,1645,4.506849315,472258,160
2003,47799,dm-pandora,54,0.147945205,20567,14
2003,42754,Wampenseppl,180,0.493150685,94524,129
2003,41379,[-SSH-]PoekiPelzball,131,0.35890411,34251,9
2003,52560,headake,3,0.008219178,419,1
2003,924,Devender,1222,3.347945205,363268,108
2003,7156,[USS]Exitus,219,0.6,77540,36
2003,21687,Parax,251,0.687671233,65726,36
2003,59642,gumpY,198,0.542465753,29521,32
2003,2394,fICHTENelch,166,0.454794521,43043,18
2003,39903,[S.D.C.]-Schakal,313,0.857534247,61051,73
2003,19984,TemplaR_AGEnt,1380,3.780821918,274357,424
2003,30348,HasnNudellBÑr,11,0.030136986,3195,2
2003,58140,Buzweed,710,1.945205479,101537,155
2003,54542,Rake|sIn,258,0.706849315,63589,47
2003,54272,beetlebum,38,0.104109589,7939,7
2003,7219,Chino,1172,3.210958904,271214,216
2003,7424,Biomann,32,0.087671233,7001,1
2003,35371,PutzFrau,619,1.695890411,157039,70
2003,47482,The Harvester,169,0.463013699,86665,54
2003,21591,Hessenpower,549,1.504109589,140179,33
2003,3702,Rukh,96,0.263013699,34216,8
2003,60570,Stringtanga,208,0.569863014,94165,52
2003,38724,The Giram,43,0.117808219,17791,48
2003,72785,blaa.nox,720,1.97260274,175448,232
2003,18640,$Dagobert Duck$,176,0.482191781,88462,13
2003,60018,bratfisch,177,0.484931507,46719,15
2003,59330,UsPdSr,99,0.271232877,42030,38
2003,51120,BAD214,68,0.18630137,14014,15
2003,65690,HeilunG,22,0.060273973,5900,0
2003,2746,[58th]IceTea,17,0.046575342,11995,0
2003,60209,-MjùllnIR-,174,0.476712329,44084,16
2003,45148,pyromat3,551,1.509589041,69598,55
2003,65836,dromigo,64,0.175342466,11524,20
2003,50370,Geierkind,339,0.928767123,73250,54
2003,39084,Loretta,245,0.671232877,100795,84
2003,5816,[KdM]Wildsau,5,0.01369863,1303,0
2003,32066,Kane*,1071,2.934246575,419673,64
2003,57213,Skywalkerchen,154,0.421917808,66203,35
2003,85543,Aerocore,1156,3.167123288,398614,378
